Migration Data - allbirds (1)
name,scientific name,country,lat,long,date,count,month,year,protocol
Arctic Tern,Sterna paradisaea,Chile,-29.9814051,-71.3043594,2015-01-05,1,1,2015,Stationary
Arctic Tern,Sterna paradisaea,South Africa,-29.9,31.25,2015-01-10,1,1,2015,Traveling
Arctic Tern,Sterna paradisaea,South Africa,-34.7009774,18.2894898,2015-01-18,1,1,2015,Incidental
Arctic Tern,Sterna paradisaea,Mozambique,-25.7939439,32.9950333,2015-01-31,1,1,2015,eBird Pelagic Protocol
Arctic Tern,Sterna paradisaea,South Africa,-34.5337124,18.3883667,2015-02-07,1,2,2015,Traveling
Arctic Tern,Sterna paradisaea,Antarctica,-70.5667,-102.55,2015-03-03,1,3,2015,Historical
Arctic Tern,Sterna paradisaea,Antarctica,-69.7,-97.117,2015-03-04,1,3,2015,Historical
Arctic Tern,Sterna paradisaea,Peru,-12.2243504,-76.9878852,2015-03-14,1,3,2015,Traveling
Arctic Tern,Sterna paradisaea,South Africa,-34.5337124,18.3883667,2015-03-15,1,3,2015,Traveling
Arctic Tern,Sterna paradisaea,South Africa,-29.9,31.25,2015-03-21,1,3,2015,Traveling
Arctic Tern,Sterna paradisaea,United States,19.2827903,-155.1177049,2015-03-28,1,3,2015,Traveling
Arctic Tern,Sterna paradisaea,United Kingdom,52.5471308,-0.7415771,2015-04-10,1,4,2015,Historical
Arctic Tern,Sterna paradisaea,Denmark,56.5307367,10.8401373,2015-04-11,1,4,2015,Historical
Arctic Tern,Sterna paradisaea,Ireland,51.6814966,-8.5206699,2015-04-14,1,4,2015,Traveling
Arctic Tern,Sterna paradisaea,Norway,59.894628,10.6089672,2015-04-15,1,4,2015,Historical
Arctic Tern,Sterna paradisaea,United Kingdom,53.2830179,-2.5206842,2015-04-17,1,4,2015,Traveling
Arctic Tern,Sterna paradisaea,United Kingdom,52.45212,0.16328,2015-04-18,1,4,2015,Historical
Arctic Tern,Sterna paradisaea,United Kingdom,54.9670801,-1.3627124,2015-04-19,1,4,2015,Historical
Arctic Tern,Sterna paradisaea,Bermuda,32.3465675,-64.6528888,2015-04-20,1,4,2015,Stationary
Arctic Tern,Sterna paradisaea,Denmark,55.6092714,10.1821265,2015-04-21,1,4,2015,Historical
Arctic Tern,Sterna paradisaea,Denmark,55.6000748,12.5278473,2015-04-22,1,4,2015,Traveling
Arctic Tern,Sterna paradisaea,Denmark,55.5841874,12.5400037,2015-04-23,1,4,2015,Incidental
Arctic Tern,Sterna paradisaea,Germany,54.2785293,8.8527489,2015-04-24,1,4,2015,Traveling
Arctic Tern,Sterna paradisaea,Canada,46.9280077,-52.9476213,2015-04-25,1,4,2015,Traveling
Arctic Tern,Sterna paradisaea,Canada,46.9280077,-52.9476213,2015-04-26,1,4,2015,Traveling
Arctic Tern,Sterna paradisaea,France,50.8708969,1.5828466,2015-04-27,1,4,2015,Stationary
Arctic Tern,Sterna paradisaea,Finland,61.8481889,21.5151787,2015-04-28,1,4,2015,Stationary
Arctic Tern,Sterna paradisaea,Denmark,55.562294,12.5645614,2015-04-29,1,4,2015,Traveling
Arctic Tern,Sterna paradisaea,Finland,61.943914,21.3455021,2015-04-30,1,4,2015,Stationary
Arctic Tern,Sterna paradisaea,Finland,61.943914,21.3455021,2015-05-01,1,5,2015,Stationary
Arctic Tern,Sterna paradisaea,Germany,54.1249683,8.9393133,2015-05-02,1,5,2015,Traveling
