code,year,habitatloss,co2emission
AGO,2015,161718.9696,57196742.8
ALA,2015,567.2330418,167136.8225
ALB,2015,283.5747371,115780.2892
AND,2015,2.167783333,1051.134146
ARG,2015,180233.1055,52551489.82
ARM,2015,1.990115394,741.7626531
ATG,2015,8.907470701,2568.892343
AUS,2015,261575.0042,71766205.2
AUT,2015,7937.704884,4158703.818
AZE,2015,26.74519296,9027.828324
BDI,2015,1458.37852,647471.3513
BEL,2015,3420.273924,1888096.256
BEN,2015,598.3973629,295683.4808
BFA,2015,0,2711.445211
BGD,2015,12603.76175,6181317.113
BGR,2015,7293.179859,3243873.503
BHS,2015,1089.013112,355118.2453
BIH,2015,580.5048923,292828.9082
BLM,2015,0.0733041861,21.29730894
BLR,2015,33899.29608,12253061.12
BLZ,2015,12270.85994,5722050.518
BOL,2015,166275.2537,72884274.46
BRA,2015,2222772.418,1312104719
BRB,2015,1.948700425,834.9366304
BRN,2015,1761.270631,1084387.087
BTN,2015,746.5236082,377405.9614
BWA,2015,0,44.26086197
CAF,2015,27315.83103,11866409.4
CAN,2015,2733439.29,426600016.5
CHE,2015,772.5663228,413806.4229
CHL,2015,106106.6837,44564694.7
CHN,2015,490444.5825,217482068
CIV,2015,152432.4521,77084508.7
CMR,2015,78969.88323,47081846
COD,2015,928115.6381,580558447.4
COG,2015,47822.97021,27515025
COL,2015,140855.7032,80321490.9
COM,2015,429.4617172,208679.5809
CRI,2015,3299.604933,1808437.128
CUB,2015,6725.978202,2480693.003
CUW,2015,0.9029118817,302.4282427
CYM,2015,0.07251709539,37.5708491
CYP,2015,20.43445921,6588.356015
CZE,2015,8046.992557,4038982.828
DEU,2015,12929.4929,6715184.024
DMA,2015,1.855631711,1172.95647
DNK,2015,2583.230426,894871.4575
DOM,2015,15090.56348,6542964.151
DZA,2015,5706.8457,1757683.081
ECU,2015,30077.59865,20305188.67
EGY,2015,31.6431485,6643.510539
ERI,2015,0,42.56956353
ESP,2015,65413.8692,25962520.37
EST,2015,25420.2959,7839430.04
ETH,2015,10276.47095,4426696.067
FIN,2015,172639.4312,37719653.17
FJI,2015,1838.352679,1058037.821
FRA,2015,37292.53033,18360783.06
GAB,2015,25472.55034,16368328.43
GBR,2015,23996.89602,10543252.35
GEO,2015,42.8506224,18046.73036
GHA,2015,57407.38759,30607036.82
GIN,2015,161820.018,68878011.21
GLP,2015,71.39707073,27911.83302
GMB,2015,10.04047817,3025.527525
GNB,2015,12661.21692,4924861.125
GNQ,2015,7468.600135,4926874.309
GRC,2015,3840.002978,1126135.14
GRD,2015,6.698007765,3767.095408
GTM,2015,54147.3393,26006464.86
GUF,2015,2867.502652,2113134.968
GUY,2015,13084.17904,8503596.116
HKG,2015,23.72139668,8252.196948
HND,2015,50242.48685,23963401.29
HRV,2015,2669.04807,1118206.357
HTI,2015,3087.564796,1216079.373
HUN,2015,10720.01287,4173784.025
IDN,2015,1746470.535,1167358231
IMN,2015,11.11626567,3981.47637
IND,2015,116308.117,55793326.18
IRL,2015,4484.169138,2181914.596
ISR,2015,51.33272803,13655.73264
ITA,2015,14124.46245,4629614.497
JAM,2015,2903.314883,1525299.052
JEY,2015,0.1013624308,27.99651498
JOR,2015,0.3915837516,84.31649579
JPN,2015,31145.40276,14941696.2
KAZ,2015,181.1622937,72444.84505
KEN,2015,15615.50086,8459176.922
KHM,2015,132701.1436,80663978.15
KNA,2015,0.9566715461,555.3054162
KOR,2015,17340.92648,6037450.791
LAO,2015,285028.8419,147416338.5
LBN,2015,173.6172988,51814.7615
LBR,2015,186009.8987,99270317.44
LBY,2015,0.1947858499,35.55110107
LCA,2015,7.175106601,3486.174806
LIE,2015,1.317510179,821.7369197
LKA,2015,7402.862736,2671439.646
LSO,2015,0.9344551757,410.2666303
LTU,2015,15794.33939,5579165.742
LUX,2015,327.4653115,193949.7751
LVA,2015,30829.68652,10352621.81
MAC,2015,0.6426038812,0
MAR,2015,951.9919859,287547
MDA,2015,495.7353512,158723.1795
MDG,2015,301788.6583,149295850.8
MEX,2015,197650.8808,83681027.64
MKD,2015,784.3280615,348178.8516
MLI,2015,204.1535159,69808.0695
MMR,2015,293305.1696,157422329.1
MNE,2015,180.9633995,98254.44673
MNG,2015,7145.278874,1083043.804
MOZ,2015,181386.8424,67711161.34
MSR,2015,0.1474813919,95.36780151
MTQ,2015,31.572052,14329.84645
MWI,2015,10785.17999,4627720.12
MYS,2015,454345.0341,252865147.8
MYT,2015,18.08987841,7983.936074
NAM,2015,0.2203955963,119.7420768
NCL,2015,486.1010029,197001.7292
NGA,2015,40927.54611,22700929.7
NIC,2015,35523.97517,19572637.44
NLD,2015,894.1996832,405811.5192
NOR,2015,36638.88559,9372308.974
NPL,2015,579.3662048,292253.3951
NZL,2015,64003.26988,42446773.55
PAK,2015,2.41608826,843.673302
PAN,2015,10553.67686,5921734.954
PER,2015,166499.9409,106237708.9
PHL,2015,65895.64634,37480686.6
PNG,2015,180806.5671,126513449.3
POL,2015,42742.66673,16837268.73
PRI,2015,722.2241255,316515.2987
PRK,2015,10852.58417,3103520.158
PRT,2015,46097.02544,16527645.83
PRY,2015,279375.4363,63581511.87
PSE,2015,0.1302804113,30.56318096
REU,2015,8.562228997,2646.949156
ROU,2015,10906.34985,5386554.747
RUS,2015,2332111.358,459675695.3
RWA,2015,2216.721228,1556193.023
SDN,2015,8.055737398,2232.445853
SEN,2015,293.4962398,77587.95278
SGP,2015,154.9748025,59025.26595
SLB,2015,14970.04616,11751616.31
SLE,2015,232761.3536,109429561.2
SLV,2015,2388.834197,1031945.069
SMR,2015,0.1672727961,46.34540362
SOM,2015,65.91837288,11170.6739
SRB,2015,2815.440175,1363041.386
SSD,2015,2459.852673,917673.9553
SUR,2015,11921.19553,8869428.494
SVK,2015,5282.688761,2701902.731
SVN,2015,1024.527525,579320.2903
SWE,2015,216031.2398,55627868.18
SWZ,2015,3215.781354,1482706.82
SYR,2015,2393.171169,564578.7728
TCA,2015,21.25021906,5812.487885
TCD,2015,2591.368461,757444.5023
TGO,2015,940.2958102,460274.8093
THA,2015,120807.656,68922998.36
TLS,2015,862.9100053,405753.7169
TTO,2015,668.193641,377111.2516
TUN,2015,1880.022717,583917.9155
TUR,2015,27735.28448,8072728.691
TWN,2015,942.6410426,424610.0761
TZA,2015,111961.2955,37946763.44
UGA,2015,54021.49584,23652786.22
UKR,2015,48913.50216,19538813.21
URY,2015,17547.92121,24302673.36
USA,2015,2289649.128,792274573.8
VCT,2015,1.723567254,957.0388673
VEN,2015,61435.84378,28093832.16
VIR,2015,0.292475154,136.2560975
VNM,2015,217883.2096,144419546.6
VUT,2015,3476.160228,1930958.183
XAD,2015,5.275077679,2063.894023
XKO,2015,470.7798667,248900.9396
XNC,2015,15.28249083,3907.089863
ZAF,2015,70156.99448,44452989.31
ZMB,2015,87590.81871,32376743.18
